[STATE] heartbeat t=2050-01-02 20:00 RUNNING step=300s selected=(none) ships-in-view=36
[ENGINE] sensor scans 270 (+18), battle-trigger passes 31681 (+1799) since last beat
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[CAMERA] pan -> 60,61.6 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 19.9,-1.2 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 8.2,-10.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 3.1,-8.9 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[CAMERA] pan -> 0.7,-2.5 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> 0.1,-0.6 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.3 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.2 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[CAMERA] pan -> -0,-0.1 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> -0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[CAMERA] pan -> 0,-0 Gm
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
[ENGINE] sensor scans 474 (+0), battle-trigger passes 56461 (+0) since last beat
[DETECT] United Earth Corp holds 1 contact(s); 20 other-faction ship(s) in-system, detects 0 (20 hidden from you)
[EMCON] your 15 ship(s): hot(loud)=0 dark(quiet)=0 blind=0; loudest Planet Express Ship x1, quietest Planet Express Ship x1
[STATE] heartbeat t=2050-01-04 06:25 paused step=300s selected=1st Task Force Lancer Test Railgun Cruiser 2 ships-in-view=36
